Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x553ca0>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.9, 5.1): -3.7412598505760224
(2.9, 5.2): -3.7089499065908917
(2.9, 5.3): -3.675020364591
(2.9, 5.4): -3.6404467699469065
(2.9, 5.5): -3.6059973711503277
(2.9, 5.6): -3.5722636224309556
(2.9, 5.7): -3.5396878523612814
(2.9, 5.8): -3.508588084446635
(2.9, 5.9): -3.4791800503735537
(2.9, 6.0): -3.4515964876771466
(3.0, 3.0): 0.6134706158866473
(3.0, 3.1): -0.21739990786254634
(3.0, 3.2): -0.9231314286863833
(3.0, 3.3): -1.5193428528385646
(3.0, 3.4): -2.019450230385696
(3.0, 3.5): -2.435199284216441
(3.0, 3.6): -2.777015762042524
(3.0, 3.7): -3.054237320767237
(3.0, 3.8): -3.2752693949764033
(3.0, 3.9): -3.4476930768061136
(3.0, 4.0): -3.578343292662463
(3.0, 4.1): -3.6733690248627666
(3.0, 4.2): -3.738282976359142
(3.0, 4.3): -3.778005214978404
(3.0, 4.4): -3.7969034783353828
(3.0, 4.5): -3.7988316408379776
(3.0, 4.6): -3.787167112270423
(3.0, 4.7): -3.7648474972761785
(3.0, 4.8): -3.734406590849539
(3.0, 4.9): -3.6980096450686584
(3.0, 5.0): -3.657487770265456
(3.0, 5.1): -3.6143713000275577
(3.0, 5.2): -3.569921936536512
(3.0, 5.3): -3.525163491594272
(3.0, 5.4): -3.480911045468732
(3.0, 5.5): -3.4377983592413615
(3.0, 5.6): -3.3963033970964243
(3.0, 5.7): -3.356771842845763
(3.0, 5.8): -3.319438529412635
(3.0, 5.9): -3.2844467394632204
(3.0, 6.0): -3.2518653773045134
(3.1, 3.0): -0.5132809462315301
(3.1, 3.1): -1.1654440541106499
(3.1, 3.2): -1.7144888480637566
(3.1, 3.3): -2.173760641332553
(3.1, 3.4): -2.5545430889114247
(3.1, 3.5): -2.8665986671103023
