Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x553070>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.801, 4.725): -3.79996517867345
(2.801, 4.726): -3.8001227248030287
(2.801, 4.727): -3.800278943274312
(2.801, 4.728): -3.800433837217017
(2.801, 4.729): -3.800587409758679
(2.801, 4.73): -3.8007396640242934
(2.801, 4.731): -3.8008906031312693
(2.801, 4.732): -3.8010402301885353
(2.801, 4.733): -3.8011885483086783
(2.801, 4.734): -3.8013355605899926
(2.801, 4.735): -3.8014812701321645
(2.801, 4.736): -3.8016256800261896
(2.801, 4.737): -3.801768793360689
(2.801, 4.738): -3.8019106132168385
(2.801, 4.739): -3.802051142670689
(2.801, 4.74): -3.802190384795605
(2.801, 4.741): -3.8023283426570216
(2.801, 4.742): -3.8024650193184786
(2.801, 4.743): -3.802600417836954
(2.801, 4.744): -3.8027345412629527
(2.801, 4.745): -3.8028673926450303
(2.801, 4.746): -3.8029989750218642
(2.801, 4.747): -3.8031292914339505
(2.801, 4.748): -3.8032583449116926
(2.801, 4.749): -3.8033861384821996
(2.801, 4.75): -3.8035126751643467
(2.801, 4.751): -3.8036379579789785
(2.801, 4.752): -3.8037619899360755
(2.801, 4.753): -3.8038847740435964
(2.801, 4.754): -3.8040063133012527
(2.801, 4.755): -3.804126610708077
(2.801, 4.756): -3.804245669255938
(2.801, 4.757): -3.8043634919302796
(2.801, 4.758): -3.80448008171458
(2.801, 4.759): -3.804595441584419
(2.801, 4.76): -3.8047095745134234
(2.801, 4.761): -3.8048224834703914
(2.801, 4.762): -3.8049341714139238
(2.801, 4.763): -3.8050446413035184
(2.801, 4.764): -3.80515389609138
(2.801, 4.765): -3.805261938725735
(2.801, 4.766): -3.8053687721478013
(2.801, 4.767): -3.805474399297925
(2.801, 4.768): -3.8055788231066305
(2.801, 4.769): -3.805682046501797
(2.801, 4.77): -3.805784072408965
(2.801, 4.771): -3.80588490374348
(2.801, 4.772): -3.8059845434209825
(2.801, 4.773): -3.8060829943497114
(2.801, 4.774): -3.8061802594317395
(2.801, 4.775): -3.806276341568221
(2.801, 4.776): -3.806371243651439
(2.801, 4.777): -3.8064649685714844
(2.801, 4.778): -3.806557519211266
(2.801, 4.779): -3.806648898452306
(2.801, 4.78): -3.8067391091675846
(2.801, 4.781): -3.806828154227
(2.801, 4.782): -3.806916036497395
(2.801, 4.783): -3.8070027588356674
(2.801, 4.784): -3.8070883241015077
(2.801, 4.785): -3.807172735141691
(2.801, 4.786): -3.807255994804973
(2.801, 4.787): -3.8073381059295195
(2.801, 4.788): -3.807419071354524
(2.801, 4.789): -3.8074988939094006
(2.801, 4.79): -3.8075775764226036
(2.801, 4.791): -3.807655121714064
(2.801, 4.792): -3.807731532601421
(2.801, 4.793): -3.8078068118993116
(2.801, 4.794): -3.8078809624130012
(2.801, 4.795): -3.807953986945861
(2.801, 4.796): -3.808025888297752
(2.801, 4.797): -3.808096669259954
(2.801, 4.798): -3.8081663326228887
(2.801, 4.799): -3.808234881168697
(2.801, 4.8): -3.8083023176803557
(2.801, 4.801): -3.808368644928951
(2.802, 4.6): -3.769926951412379
(2.802, 4.601): -3.770273758830504
(2.802, 4.602): -3.770618808994151
(2.802, 4.603): -3.7709621057153924
(2.802, 4.604): -3.7713036528024415
(2.802, 4.605): -3.771643454051742
(2.802, 4.606): -3.7719815132592425
(2.802, 4.607): -3.7723178342132067
(2.802, 4.608): -3.7726524206956937
(2.802, 4.609): -3.772985276483036
(2.802, 4.61): -3.7733164053474506
(2.802, 4.611): -3.773645811052031
(2.802, 4.612): -3.7739734973561894
(2.802, 4.613): -3.774299468015093
(2.802, 4.614): -3.7746237267737968
(2.802, 4.615): -3.774946277376754
(2.802, 4.616): -3.7752671235581112
(2.802, 4.617): -3.7755862690508706
(2.802, 4.618): -3.775903717576039
(2.802, 4.619): -3.7762194728559266
(2.802, 4.62): -3.7765335385998733
(2.802, 4.621): -3.776845918519409
(2.802, 4.622): -3.7771566163137305
(2.802, 4.623): -3.777465635678476
(2.802, 4.624): -3.7777729803057447
(2.802, 4.625): -3.7780786538789015
(2.802, 4.626): -3.7783826600767734
(2.802, 4.627): -3.778685002573048
(2.802, 4.628): -3.7789856850336765
(2.802, 4.629): -3.7792847111217105
(2.802, 4.63): -3.779582084491849
(2.802, 4.631): -3.7798778087964453
(2.802, 4.632): -3.7801718876797628
(2.802, 4.633): -3.780464324779494
(2.802, 4.634): -3.780755123728139
(2.802, 4.635): -3.781044288157627
(2.802, 4.636): -3.7813318216862677
(2.802, 4.637): -3.78161772793101
(2.802, 4.638): -3.7819020105038437
(2.802, 4.639): -3.782184673008284
(2.802, 4.64): -3.782465719047507
(2.802, 4.641): -3.7827451522099795
(2.802, 4.642): -3.7830229760880942
(2.802, 4.643): -3.783299194263408
(2.802, 4.644): -3.7835738103140044
(2.802, 4.645): -3.7838468278087047
(2.802, 4.646): -3.78411825031727
