Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: vasp
size: (1, 1, 1)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(4.2, 3.3): -2.86426899
(4.2, 3.4): -2.798144775
(4.2, 3.5): -2.72049908
(4.2, 3.6): -2.656830835
(4.2, 3.7): -2.594005685
(4.2, 3.8): -2.527780285
(4.2, 3.9): -2.44196859
(4.2, 4.0): -2.37783533
(4.2, 4.1): -2.311260035
(4.2, 4.2): -2.24292521
(4.2, 4.3): -2.175929535
(4.2, 4.4): -2.094465675
(4.2, 4.5): -2.028725685
(4.2, 4.6): -1.967160085
(4.2, 4.7): -1.90338909
(4.2, 4.8): -1.84059211
(4.2, 4.9): -1.76713806
(4.2, 5.0): -1.705189245
(4.2, 5.1): -1.63973742
(4.2, 5.2): -1.583422305
(4.2, 5.3): -1.533479615
(4.2, 5.4): -1.481082075
(4.2, 5.5): -1.43372808
(4.2, 5.6): -1.384250325
(4.2, 5.7): -1.33936283
(4.2, 5.8): -1.281448835
(4.2, 5.9): -1.232163585
(4.2, 6.0): -1.186405235
(4.3, 3.0): -2.97075456
(4.3, 3.1): -2.921710655
(4.3, 3.2): -2.864085655
(4.3, 3.3): -2.793290665
(4.3, 3.4): -2.713847665
(4.3, 3.5): -2.63402941
(4.3, 3.6): -2.567438785
(4.3, 3.7): -2.495584575
(4.3, 3.8): -2.42136806
(4.3, 3.9): -2.33818035
(4.3, 4.0): -2.27363264
(4.3, 4.1): -2.20796295
(4.3, 4.2): -2.137441925
(4.3, 4.3): -2.0634516
(4.3, 4.4): -1.989650625
(4.3, 4.5): -1.928500535
(4.3, 4.6): -1.86514718
(4.3, 4.7): -1.80053766
(4.3, 4.8): -1.73194928
(4.3, 4.9): -1.67134246
(4.3, 5.0): -1.61083559
(4.3, 5.1): -1.54691068
(4.3, 5.2): -1.49097943
(4.3, 5.3): -1.443097475
(4.3, 5.4): -1.39571294
(4.3, 5.5): -1.348102605
(4.3, 5.6): -1.29935118
(4.3, 5.7): -1.250465325
(4.3, 5.8): -1.201871375
(4.3, 5.9): -1.15264608
(4.3, 6.0): -1.110937115
(4.4, 3.0): -2.928154935
(4.4, 3.1): -2.85845501
(4.4, 3.2): -2.78628323
(4.4, 3.3): -2.708179985
(4.4, 3.4): -2.628244255
(4.4, 3.5): -2.546295565
(4.4, 3.6): -2.46472201
(4.4, 3.7): -2.389541715
(4.4, 3.8): -2.31304877
(4.4, 3.9): -2.24093343
(4.4, 4.0): -2.16538206
(4.4, 4.1): -2.09537585
(4.4, 4.2): -2.025690615
(4.4, 4.3): -1.956631685
(4.4, 4.4): -1.88791603
(4.4, 4.5): -1.82123746
(4.4, 4.6): -1.75945302
(4.4, 4.7): -1.696093295
(4.4, 4.8): -1.63518243
(4.4, 4.9): -1.576201985
(4.4, 5.0): -1.52027322
(4.4, 5.1): -1.46646097
(4.4, 5.2): -1.411055215
(4.4, 5.3): -1.356153535
(4.4, 5.4): -1.305270315
(4.4, 5.5): -1.258845575
(4.4, 5.6): -1.21190619
(4.4, 5.7): -1.16663532
(4.4, 5.8): -1.1235857
(4.4, 5.9): -1.08595713
(4.4, 6.0): -1.045339265
(4.5, 3.0): -2.869616525
(4.5, 3.1): -2.788220735
(4.5, 3.2): -2.711826805
(4.5, 3.3): -2.62634206
(4.5, 3.4): -2.543383825
(4.5, 3.5): -2.45241616
(4.5, 3.6): -2.370509765
(4.5, 3.7): -2.292947655
(4.5, 3.8): -2.215199215
(4.5, 3.9): -2.138858815
(4.5, 4.0): -2.062272745
(4.5, 4.1): -1.996664395
(4.5, 4.2): -1.92791485
(4.5, 4.3): -1.86116595
(4.5, 4.4): -1.789374335
(4.5, 4.5): -1.727842365
(4.5, 4.6): -1.66880412
(4.5, 4.7): -1.606943245
(4.5, 4.8): -1.550106355
(4.5, 4.9): -1.4946931
