Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x5513f0>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
4.075: -3.827970187086524 (16.916980469)
4.076: -3.827896920642541 (16.929437744)
4.077: -3.8278133902144957 (16.941901133)
4.078: -3.8277196336442945 (16.954370638)
4.079: -3.8276156886660164 (16.96684626)
4.08: -3.8275015929026335 (16.979328)
4.081: -3.8273773838650547 (16.99181586)
4.082: -3.8272430989578243 (17.004309842)
4.083: -3.8270987754717654 (17.016809947)
4.084: -3.826944450592788 (17.029316176)
4.085: -3.8267801613943293 (17.041828531)
4.086: -3.8266059448429424 (17.054347014)
4.087: -3.82642183779582 (17.066871626)
4.088: -3.8262278770039493 (17.079402368)
4.089: -3.826024099109388 (17.091939242)
4.09: -3.8258105406456426 (17.10448225)
4.091: -3.8255872380398257 (17.117031393)
4.092: -3.825354227614185 (17.129586672)
4.093: -3.825111545580624 (17.142148089)
4.094: -3.8248592280487186 (17.154715646)
4.095: -3.8245973110187768 (17.167289344)
4.096: -3.824325830386803 (17.179869184)
4.097: -3.824044821943999 (17.192455168)
4.098: -3.8237543213758753 (17.205047298)
4.099: -3.823454364261571 (17.217645575)
4.1: -3.8231449860791846 (17.23025)
4.101: -3.822826222198384 (17.242860575)
4.102: -3.8224981078888796 (17.255477302)
4.103: -3.822160678313476 (17.268100182)
4.104: -3.82181396853266 (17.280729216)
4.105: -3.821458013504924 (17.293364406)
4.106: -3.8210928480853017 (17.306005754)
4.107: -3.820718507024229 (17.318653261)
4.108: -3.8203350249732497 (17.331306928)
4.109: -3.8199424364794146 (17.343966757)
4.11: -3.819540775989914 (17.35663275)
4.111: -3.819130077847513 (17.369304908)
4.112: -3.8187103762976284 (17.381983232)
4.113: -3.818281705482513 (17.394667724)
4.114: -3.817844099443866 (17.407358386)
4.115: -3.8173975921240544 (17.420055219)
4.116: -3.816942217365038 (17.432758224)
4.117: -3.816478008907854 (17.445467403)
4.118: -3.8160050003952843 (17.458182758)
4.119: -3.8155232253703897 (17.47090429)
4.12: -3.8150327172787692 (17.483632)
