Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x552530>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
4.144: -3.800725847738703 (17.790954496)
4.145: -3.8000275984067957 (17.803837156)
4.146: -3.7993214517024803 (17.816726034)
4.147: -3.7986074384984927 (17.829621131)
4.148: -3.7978855895758734 (17.842522448)
4.149: -3.797155935624715 (17.855429987)
4.15: -3.7964185072447347 (17.86834375)
4.151: -3.7956733349425025 (17.881263738)
4.152: -3.7949204491374733 (17.894189952)
4.153: -3.794159880154907 (17.907122394)
4.154: -3.7933916582319407 (17.920061066)
4.155: -3.792615813517368 (17.933005969)
4.156: -3.7918323760663233 (17.945957104)
4.157: -3.791041375849064 (17.958914473)
4.158: -3.790242842742846 (17.971878078)
4.159: -3.7894368065393786 (17.98484792)
4.16: -3.7886232969394698 (17.997824)
4.161: -3.7878023435564248 (18.01080632)
4.162: -3.78697397591397 (18.023794882)
4.163: -3.786138223451417 (18.036789687)
4.164: -3.7852951155165164 (18.049790736)
4.165: -3.7844446813724004 (18.062798031)
4.166: -3.7835869501927846 (18.075811574)
4.167: -3.782721951066923 (18.088831366)
4.168: -3.78184971299515 (18.101857408)
4.169: -3.7809702648919408 (18.114889702)
4.17: -3.780083635586826 (18.12792825)
4.171: -3.779189853821543 (18.140973053)
4.172: -3.7782889482531563 (18.154024112)
4.173: -3.777380947452919 (18.167081429)
4.174: -3.7764658799077306 (18.180145006)
4.175: -3.7755437740174806 (18.193214844)
4.176: -3.774614658098923 (18.206290944)
4.177: -3.7736785603830194 (18.219373308)
4.178: -3.7727355090187324 (18.232461938)
4.179: -3.7717855320675895 (18.245556835)
4.18: -3.770828657509294 (18.258658)
4.181: -3.769864913240264 (18.271765435)
4.182: -3.7688943270728266 (18.284879142)
4.183: -3.767916926735303 (18.297999122)
4.184: -3.7669327398739783 (18.311125376)
4.185: -3.765941794052225 (18.324257906)
4.186: -3.7649441167521855 (18.337396714)
4.187: -3.7639397353706334 (18.350541801)
4.188: -3.7629286772262285 (18.363693168)
4.189: -3.7619109695528956 (18.376850817)
4.19: -3.7608866395035596 (18.39001475)
4.191: -3.7598557141501177 (18.403184968)
4.192: -3.758818220483996 (18.416361472)
4.193: -3.7577741854148665 (18.429544264)
4.194: -3.7567236357718925 (18.442733346)
4.195: -3.755666598304265 (18.455928719)
4.196: -3.754603099678667 (18.469130384)
4.197: -3.753533166485787 (18.482338343)
4.198: -3.75245682523248 (18.495552598)
4.199: -3.751374102349026 (18.50877315)
4.2: -3.750285024185262 (18.522)
4.201: -3.7491896170104173 (18.53523315)
