Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x54ae60>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.995: -3.797011466553041 (15.940074969)
3.996: -3.797892325947504 (15.952047984)
3.997: -3.7987595065243354 (15.964026993)
3.998: -3.79961305604813 (15.976011998)
3.999: -3.800453022146209 (15.988003)
4.0: -3.801279452309024 (16.0)
4.001: -3.8020923938876248 (16.012003)
4.002: -3.802891894099928 (16.024012002)
4.003: -3.803678000023862 (16.036027007)
4.004: -3.8044507586036103 (16.048048016)
4.005: -3.805210216646107 (16.060075031)
4.006: -3.8059564208251615 (16.072108054)
4.007: -3.8066894176772332 (16.084147086)
4.008: -3.80740925360576 (16.096192128)
4.009: -3.8081159748784565 (16.108243182)
4.01: -3.8088096276315984 (16.12030025)
4.011: -3.809490257866759 (16.132363333)
4.012: -3.8101579114513546 (16.144432432)
4.013: -3.8108126341211572 (16.156507549)
4.014: -3.811454471479464 (16.168588686)
4.015: -3.812083468998396 (16.180675844)
4.016: -3.8126996720169695 (16.192769024)
4.017: -3.813303125743886 (16.204868228)
4.018: -3.813893875255952 (16.216973458)
4.019: -3.8144719655005948 (16.229084715)
4.02: -3.8150374412939496 (16.241202)
4.021: -3.8155903473230666 (16.253325315)
4.022: -3.816130728144811 (16.265454662)
4.023: -3.8166586281890726 (16.277590042)
4.024: -3.817174091753161 (16.289731456)
4.025: -3.8176771630083013 (16.301878906)
4.026: -3.818167885998627 (16.314032394)
4.027: -3.818646304638577 (16.326191921)
4.028: -3.8191124627154696 (16.338357488)
4.029: -3.8195664038902346 (16.350529097)
4.03: -3.82000817169673 (16.36270675)
4.031: -3.8204378095429075 (16.374890448)
4.032: -3.8208553607095537 (16.387080192)
4.033: -3.8212608683538063 (16.399275984)
4.034: -3.821654375506115 (16.411477826)
4.035: -3.8220359250717597 (16.423685719)
4.036: -3.8224055598316324 (16.435899664)
4.037: -3.82276332244337 (16.448119663)
4.038: -3.8231092554395905 (16.460345718)
4.039: -3.82344340122845 (16.47257783)
4.04: -3.823765802097209 (16.484816)
4.041: -3.824076500208433 (16.49706023)
4.042: -3.824375537602816 (16.509310522)
4.043: -3.82466295619819 (16.521566877)
4.044: -3.824938797791655 (16.533829296)
4.045: -3.825203104056064 (16.546097781)
4.046: -3.8254559165470634 (16.558372334)
4.047: -3.8256972766957906 (16.570652956)
4.048: -3.8259272258146595 (16.582939648)
4.049: -3.8261458050948227 (16.595232412)
4.05: -3.8263530556087972 (16.60753125)
4.051: -3.82654901830803 (16.619836163)
4.052: -3.826733734026124 (16.632147152)
4.053: -3.8269072434760627 (16.644464219)
4.054: -3.8270695872542704 (16.656787366)
4.055: -3.82722080583654 (16.669116594)
4.056: -3.8273609395819284 (16.681451904)
4.057: -3.827490028732456 (16.693793298)
4.058: -3.827608113411882 (16.706140778)
4.059: -3.8277152336272517 (16.718494345)
4.06: -3.8278114292694 (16.730854)
4.061: -3.8278967401110715 (16.743219745)
4.062: -3.827971205810536 (16.755591582)
4.063: -3.828034865910465 (16.767969512)
4.064: -3.8280877598376026 (16.780353536)
4.065: -3.828129926903756 (16.792743656)
4.066: -3.8281614063051808 (16.805139874)
4.067: -3.8281822371243037 (16.817542191)
4.068: -3.8281924583297036 (16.829950608)
4.069: -3.828192108775946 (16.842365127)
4.07: -3.8281812272033404 (16.85478575)
4.071: -3.828159852239421 (16.867212478)
4.072: -3.8281280224001466 (16.879645312)
4.073: -3.8280857760872795 (16.892084254)
4.074: -3.8280331515893553 (16.904529306)
4.075: -3.8279701870865237 (16.916980469)
4.076: -3.827896920642541 (16.929437744)
4.077: -3.8278133902144953 (16.941901133)
4.078: -3.827719633644294 (16.954370638)
4.079: -3.827615688666016 (16.96684626)
4.08: -3.8275015929026335 (16.979328)
4.081: -3.8273773838650547 (16.99181586)
4.082: -3.8272430989578243 (17.004309842)
4.083: -3.827098775471766 (17.016809947)
4.084: -3.826944450592788 (17.029316176)
4.085: -3.826780161394329 (17.041828531)
4.086: -3.8266059448429424 (17.054347014)
4.087: -3.82642183779582 (17.066871626)
4.088: -3.8262278770039497 (17.079402368)
4.089: -3.8260240991093877 (17.091939242)
4.09: -3.825810540645642 (17.10448225)
4.091: -3.825587238039825 (17.117031393)
4.092: -3.825354227614185 (17.129586672)
4.093: -3.825111545580624 (17.142148089)
4.094: -3.8248592280487186 (17.154715646)
4.095: -3.824597311018776 (17.167289344)
4.096: -3.8243258303868024 (17.179869184)
4.097: -3.824044821943999 (17.192455168)
4.098: -3.8237543213758753 (17.205047298)
4.099: -3.8234543642615706 (17.217645575)
4.1: -3.823144986079184 (17.23025)
4.101: -3.8228262221983837 (17.242860575)
4.102: -3.8224981078888796 (17.255477302)
4.103: -3.8221606783134754 (17.268100182)
4.104: -3.82181396853266 (17.280729216)
4.105: -3.8214580135049236 (17.293364406)
4.106: -3.8210928480853013 (17.306005754)
4.107: -3.8207185070242295 (17.318653261)
4.108: -3.8203350249732506 (17.331306928)
4.109: -3.8199424364794146 (17.343966757)
4.11: -3.8195407759899136 (17.35663275)
4.111: -3.819130077847513 (17.369304908)
4.112: -3.818710376297628 (17.381983232)
4.113: -3.8182817054825136 (17.394667724)
4.114: -3.8178440994438665 (17.407358386)
4.115: -3.8173975921240544 (17.420055219)
4.116: -3.816942217365038 (17.432758224)
4.117: -3.816478008907853 (17.445467403)
4.118: -3.8160050003952843 (17.458182758)
4.119: -3.8155232253703897 (17.47090429)
4.12: -3.8150327172787692 (17.483632)
4.121: -3.814533509464583 (17.49636589)
4.122: -3.8140256351748514 (17.509105962)
4.123: -3.8135091275599793 (17.521852217)
4.124: -3.812984019670686 (17.534604656)
4.125: -3.8124503444597444 (17.547363281)
4.126: -3.8119081347848534 (17.560128094)
4.127: -3.811357423403389 (17.572899096)
4.128: -3.8107982429792404 (17.585676288)
4.129: -3.8102306260775483 (17.598459672)
4.13: -3.8096546051688227 (17.61124925)
4.131: -3.8090702126250084 (17.624045023)
4.132: -3.8084774807252137 (17.636846992)
4.133: -3.807876441651506 (17.649655159)
4.134: -3.80726712749131 (17.662469526)
4.135: -3.8066495702368 (17.675290094)
4.136: -3.8060238017843635 (17.688116864)
4.137: -3.805389853938682 (17.700949838)
4.138: -3.804747758407847 (17.713789018)
4.139: -3.804097546806975 (17.726634405)
4.14: -3.8034392506579002 (17.739486)
4.141: -3.802772901388019 (17.752343805)
4.142: -3.8020985303319597 (17.765207822)
4.143: -3.801416168732867 (17.778078052)
4.144: -3.800725847738703 (17.790954496)
4.145: -3.800027598406795 (17.803837156)
4.146: -3.7993214517024887 (17.816726034)
4.147: -3.7986074384984923 (17.829621131)
4.148: -3.797885589575873 (17.842522448)
4.149: -3.797155935624714 (17.855429987)
4.15: -3.796418507244735 (17.86834375)
4.151: -3.795673334942501 (17.881263738)
4.152: -3.7949204491374733 (17.894189952)
4.153: -3.7941598801549077 (17.907122394)
4.154: -3.7933916582319407 (17.920061066)
4.155: -3.792615813517368 (17.933005969)
4.156: -3.7918323760663233 (17.945957104)
4.157: -3.7910413758490633 (17.958914473)
4.158: -3.790242842742846 (17.971878078)
4.159: -3.7894368065393786 (17.98484792)
4.16: -3.7886232969394698 (17.997824)
4.161: -3.7878023435564248 (18.01080632)
