Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x592160>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.3, 5.1): 0.5200561936017138
(2.3, 5.2): 0.4303391573126024
(2.3, 5.3): 0.35788094259215897
(2.3, 5.4): 0.29967475384232184
(2.3, 5.5): 0.25320051786170955
(2.3, 5.6): 0.21635171471477174
(2.3, 5.7): 0.18737213860025032
(2.3, 5.8): 0.16480148127145752
(2.3, 5.9): 0.14742869437796285
(2.3, 6.0): 0.134252164057569
(2.4, 3.0): 17.694510609660824
(2.4, 3.1): 14.768288553788716
(2.4, 3.2): 12.235969267933925
(2.4, 3.3): 10.051116725134795
(2.4, 3.4): 8.17208472825479
(2.4, 3.5): 6.5614706025374865
(2.4, 3.6): 5.185700512498849
(2.4, 3.7): 4.0146947313645525
(2.4, 3.8): 3.021580907021422
(2.4, 3.9): 2.182436208382531
(2.4, 4.0): 1.4760474663433851
(2.4, 4.1): 0.8836835884140781
(2.4, 4.2): 0.3888776729291199
(2.4, 4.3): -0.022781917396448314
(2.4, 4.4): -0.3638512713969173
(2.4, 4.4): -0.3638512713969173
(2.4, 4.41): -0.39450847062652744
(2.4, 4.42): -0.42457992593022403
(2.4, 4.43): -0.4540755203661959
(2.4, 4.44): -0.4830049919582955
(2.4, 4.45): -0.5113779354012952
(2.4, 4.46): -0.5392038037552632
(2.4, 4.47): -0.5664919101275383
(2.4, 4.48): -0.593251429343356
(2.4, 4.49): -0.619491399603077
(2.4, 4.5): -0.6452207241293269
(2.4, 4.51): -0.6704481728012388
(2.4, 4.52): -0.6951823837754887
(2.4, 4.53): -0.7194318650966239
(2.4, 4.54): -0.7432049962946623
(2.4, 4.55): -0.7665100299700773
(2.4, 4.56): -0.7893550933668382
(2.4, 4.57): -0.8117481899326828
(2.4, 4.58): -0.8336972008677792
(2.4, 4.59): -0.8552098866597934
(2.4, 4.6): -0.876293888607248
(2.4, 4.61): -0.8969567303302024
(2.4, 4.62): -0.9172058192683604
(2.4, 4.63): -0.9370484481667076
(2.4, 4.64): -0.9564917965484069
(2.4, 4.65): -0.9755429321745577
(2.4, 4.66): -0.9942088124933823
(2.4, 4.67): -1.0124962860731825
(2.4, 4.68): -1.0304120940271297
(2.4, 4.69): -1.04796287142027
(2.4, 4.7): -1.0651551486699684
(2.4, 4.71): -1.0819953529268844
(2.4, 4.72): -1.0984898094489226
(2.4, 4.73): -1.1146447429588668
(2.4, 4.74): -1.130466278992231
(2.4, 4.75): -1.1459604452296532
(2.4, 4.76): -1.1611331728169403
(2.4, 4.77): -1.1759902976773526
(2.4, 4.78): -1.1905375618025502
(2.4, 4.79): -1.2047806145382054
(2.4, 4.8): -1.2187250138539854
(2.4, 4.81): -1.23237622760108
(2.4, 4.82): -1.245739634758562
(2.4, 4.83): -1.258820526664083
(2.4, 4.84): -1.2716241082361277
(2.4, 4.85): -1.2841554991791704
(2.4, 4.86): -1.2964197351816078
(2.4, 4.87): -1.3084217690975652
(2.4, 4.88): -1.320166472116299
(2.4, 4.89): -1.3316586349199202
(2.4, 4.9): -1.342902968832287
(2.4, 4.91): -1.35390410694842
(2.4, 4.92): -1.36466660525694
(2.4, 4.93): -1.3751949437501712
(2.4, 4.94): -1.3854935275207891
(2.4, 4.95): -1.3955666878429664
(2.4, 4.96): -1.405418683250992
(2.4, 4.97): -1.4150537005948562
(2.4, 4.98): -1.4244758560893573
(2.4, 4.99): -1.4336891963554252
(2.4, 5.0): -1.4426976994381902
(2.4, 5.1): -1.5223448194624498
(2.4, 5.2): -1.5854124408760155
(2.4, 5.3): -1.6348951145005863
(2.4, 5.4): -1.673296813076894
(2.4, 5.5): -1.702703732723126
(2.4, 5.6): -1.7248477535107196
(2.4, 5.7): -1.7411614292944568
(2.4, 5.8): -1.7528253762426491
(2.4, 5.9): -1.7608089047826296
(2.4, 6.0): -1.7659046969290115
(2.5, 3.0): 12.879195565127674
(2.5, 3.1): 10.465279111609595
(2.5, 3.2): 8.377781755673412
(2.5, 3.3): 6.578430051798857
(2.5, 3.4): 5.032958860881773
(2.5, 3.5): 3.710590891027238
(2.5, 3.6): 2.583659223047021
(2.5, 3.7): 1.6273176830095724
(2.5, 3.8): 0.8193042195931632
(2.5, 3.9): 0.13973581916937147
(2.5, 4.0): -0.42907780548286406
(2.5, 4.1): -0.9028089464712492
(2.5, 4.2): -1.2952787566823238
(2.5, 4.3): -1.618617813931918
(2.5, 4.4): -1.8834207439554183
(2.5, 4.4): -1.8834207439554183
(2.5, 4.41): -1.9070472686834647
(2.5, 4.42): -1.9301900173754398
(2.5, 4.43): -1.9528573545543624
(2.5, 4.44): -1.9750575230028113
(2.5, 4.45): -1.996798645121564
(2.5, 4.46): -2.0180887242823005
(2.5, 4.47): -2.0389356461757138
(2.5, 4.48): -2.0593471801436345
(2.5, 4.49): -2.079330980507407
(2.5, 4.5): -2.0988945878925556
(2.5, 4.51): -2.1180454305362764
(2.5, 4.52): -2.136790825596109
(2.5, 4.53): -2.1551379804401907
(2.5, 4.54): -2.1730939939378158
