Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: vasp
size: (1, 1, 1)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.8, 5.04): -3.18110391
(2.8, 5.041): -3.1811123
(2.8, 5.042): -3.181127105
(2.8, 5.043): -3.18115145
(2.8, 5.044): -3.18116559
(2.8, 5.045): -3.18117224
(2.8, 5.046): -3.18117614
(2.8, 5.047): -3.181195355
(2.8, 5.048): -3.18119864
(2.8, 5.049): -3.181213305
(2.8, 5.05): -3.181210685
(2.8, 5.051): -3.18121101
(2.8, 5.052): -3.18120782
(2.8, 5.053): -3.18120632
(2.8, 5.054): -3.181204565
(2.8, 5.055): -3.181204155
(2.8, 5.056): -3.18123021
(2.8, 5.057): -3.181286915
(2.8, 5.058): -3.181343665
(2.8, 5.059): -3.181391035
(2.8, 5.06): -3.18145426
(2.8, 5.061): -3.181517845
(2.8, 5.062): -3.18156149
(2.8, 5.063): -3.18160284
(2.8, 5.064): -3.181636795
(2.8, 5.065): -3.181699315
(2.8, 5.066): -3.181729655
(2.8, 5.067): -3.181758105
(2.8, 5.068): -3.18179929
(2.8, 5.069): -3.1818285
(2.8, 5.07): -3.181870145
(2.8, 5.071): -3.181899315
(2.8, 5.072): -3.181920195
(2.8, 5.073): -3.18193963
(2.8, 5.074): -3.181976745
(2.8, 5.075): -3.18200187
(2.8, 5.076): -3.18200918
(2.8, 5.077): -3.182027505
(2.8, 5.078): -3.18203189
(2.8, 5.079): -3.182048875
(2.8, 5.08): -3.18206606
(2.8, 5.081): -3.182072135
(2.8, 5.082): -3.182084285
(2.8, 5.083): -3.182080645
(2.8, 5.084): -3.18210945
(2.8, 5.085): -3.182131335
(2.8, 5.086): -3.182136995
(2.8, 5.087): -3.182129695
(2.8, 5.088): -3.18211802
(2.8, 5.089): -3.182124525
(2.8, 5.09): -3.182119475
(2.8, 5.091): -3.182109585
(2.8, 5.092): -3.18209318
(2.8, 5.093): -3.182075185
(2.8, 5.094): -3.182053845
(2.8, 5.095): -3.182064375
(2.8, 5.096): -3.18204667
(2.8, 5.097): -3.182059295
(2.8, 5.098): -3.18203603
(2.8, 5.099): -3.182014325
(2.8, 5.1): -3.182010105
(2.801, 4.7): -3.103698195
(2.801, 4.701): -3.10422518
(2.801, 4.702): -3.10474322
(2.801, 4.703): -3.10528055
(2.801, 4.704): -3.105801495
(2.801, 4.705): -3.10631151
(2.801, 4.706): -3.106829915
(2.801, 4.707): -3.107332375
(2.801, 4.708): -3.10782449
(2.801, 4.709): -3.108350745
(2.801, 4.71): -3.108855075
(2.801, 4.711): -3.109364305
(2.801, 4.712): -3.10985055
(2.801, 4.713): -3.110386825
(2.801, 4.714): -3.110886645
(2.801, 4.715): -3.11137614
(2.801, 4.716): -3.11185581
(2.801, 4.717): -3.112341975
(2.801, 4.718): -3.11283718
(2.801, 4.719): -3.11332867
(2.801, 4.72): -3.113807775
(2.801, 4.721): -3.11430321
(2.801, 4.722): -3.11479242
(2.801, 4.723): -3.11526803
(2.801, 4.724): -3.11575954
(2.801, 4.725): -3.11623334
(2.801, 4.726): -3.116698575
(2.801, 4.727): -3.117170645
(2.801, 4.728): -3.11765198
(2.801, 4.729): -3.11810488
(2.801, 4.73): -3.118565905
(2.801, 4.731): -3.119038305
(2.801, 4.732): -3.11948326
(2.801, 4.733): -3.119954875
(2.801, 4.734): -3.120403695
(2.801, 4.735): -3.120856605
