Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x2fcab40>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

lattice constant/Ang: energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
4.175: -3.775543774018194 (18.193214844)
4.176: -3.7746146580979296 (18.206290944)
4.177: -3.7736785603842704 (18.219373308)
4.178: -3.772735509017736 (18.232461938)
4.179: -3.7717855320665246 (18.245556835)
4.18: -3.770828657508627 (18.258658)
4.181: -3.769864913241677 (18.271765435)
4.182: -3.7688943270714086 (18.284879142)
4.183: -3.7679169267356603 (18.297999122)
4.184: -3.766932739874657 (18.311125376)
4.185: -3.7659417940522038 (18.324257906)
4.186: -3.764944116752274 (18.337396714)
4.187: -3.7639397353705437 (18.350541801)
4.188: -3.7629286772275634 (18.363693168)
4.189: -3.7619109695519053 (18.376850817)
4.19: -3.7608866395025182 (18.39001475)
4.191: -3.759855714151757 (18.403184968)
4.192: -3.758818220485029 (18.416361472)
4.193: -3.7577741854164777 (18.429544264)
4.194: -3.7567236357718063 (18.442733346)
4.195: -3.7556665983049893 (18.455928719)
4.196: -3.7546030996800215 (18.469130384)
4.197: -3.7535331664844587 (18.482338343)
4.198: -3.752456825233456 (18.495552598)
4.199: -3.751374102350013 (18.50877315)
4.2: -3.750285024185699 (18.522)
4.201: -3.749189617010416 (18.53523315)
